ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1994-01-01,0.56739102,48.76065275626452,149.6124892277317,0.56739102,0.56739102,98.7410322000056,98.7410322000056,98.7410322000056,98.7410322000056,98.7410322000056,98.7410322000056,0.0,0.0,0.0,99.30842322000561
1995-01-01,4.148089401797583,63.57556559932823,165.41625207639,4.148089401797583,4.148089401797583,108.49405293368272,108.49405293368272,108.49405293368272,108.49405293368272,108.49405293368272,108.49405293368272,0.0,0.0,0.0,112.6421423354803
1996-01-01,7.728787790164418,73.08252990346215,175.48158745939847,7.728787790164418,7.728787790164418,118.13041975676587,118.13041975676587,118.13041975676587,118.13041975676587,118.13041975676587,118.13041975676587,0.0,0.0,0.0,125.85920754693029
1997-01-01,11.31929631511028,44.09086151098443,152.63242568354238,11.31929631511028,11.31929631511028,88.88332139132056,88.88332139132056,88.88332139132056,88.88332139132056,88.88332139132056,88.88332139132056,0.0,0.0,0.0,100.20261770643084
1998-01-01,14.899994702410863,62.101251984363586,162.6943756397078,14.899994702410863,14.899994702410863,98.74103219999927,98.74103219999927,98.74103219999927,98.74103219999927,98.74103219999927,98.74103219999927,0.0,0.0,0.0,113.64102690241013
1999-01-01,18.480693091922276,76.0537589830545,180.66669112041114,18.480693091922276,18.480693091922276,108.49405293366725,108.49405293366725,108.49405293366725,108.49405293366725,108.49405293366725,108.49405293366725,0.0,0.0,0.0,126.97474602558952
2000-01-01,22.061391480635248,91.64912469426581,189.41244616689536,22.061391480635248,22.061391480635248,118.13041975682356,118.13041975682356,118.13041975682356,118.13041975682356,118.13041975682356,118.13041975682356,0.0,0.0,0.0,140.1918112374588
2001-01-01,25.651900004931054,62.07649575256377,165.40348522890255,25.651900004931054,25.651900004931054,88.88332139133443,88.88332139133443,88.88332139133443,88.88332139133443,88.88332139133443,88.88332139133443,0.0,0.0,0.0,114.53522139626548
2002-01-01,29.232598401871897,72.54138410852626,177.07475575626577,29.232598401871897,29.232598401871897,98.74103220003997,98.74103220003997,98.74103220003997,98.74103220003997,98.74103220003997,98.74103220003997,0.0,0.0,0.0,127.97363060191186
2003-01-01,32.81329679748446,90.59965577010395,191.74825148756645,32.81329679748446,32.81329679748446,108.4940529337181,108.4940529337181,108.4940529337181,108.4940529337181,108.4940529337181,108.4940529337181,0.0,0.0,0.0,141.30734973120255
2004-01-01,36.39399518886375,105.49705416940566,204.77557079419398,36.39399518886375,36.39399518886375,118.13041975674449,118.13041975674449,118.13041975674449,118.13041975674449,118.13041975674449,118.13041975674449,0.0,0.0,0.0,154.52441494560824
2005-01-01,39.98450370706572,79.31020410491452,180.46971675252325,39.98450370706572,39.98450370706572,88.88332139136953,88.88332139136953,88.88332139136953,88.88332139136953,88.88332139136953,88.88332139136953,0.0,0.0,0.0,128.86782509843525
2006-01-01,43.56520209650145,92.29379525098616,192.399504167835,43.56520209650145,43.56520209650145,98.74103219999732,98.74103219999732,98.74103219999732,98.74103219999732,98.74103219999732,98.74103219999732,0.0,0.0,0.0,142.30623429649876
2007-01-01,47.14590048889108,105.07368644418327,203.5390053181806,47.14590048889108,47.14590048889108,108.49405293367735,108.49405293367735,108.49405293367735,108.49405293367735,108.49405293367735,108.49405293367735,0.0,0.0,0.0,155.63995342256842
2008-01-01,50.72659888379851,118.29844206857899,219.35838523802437,50.72659888379851,50.72659888379851,118.13041975679106,118.13041975679106,118.13041975679106,118.13041975679106,118.13041975679106,118.13041975679106,0.0,0.0,0.0,168.85701864058956
2009-01-01,54.31710740742539,91.40207440300846,190.44928970839663,54.31710740742539,54.31710740742539,88.88332139130434,88.88332139130434,88.88332139130434,88.88332139130434,88.88332139130434,88.88332139130434,0.0,0.0,0.0,143.20042879872972
2010-01-01,57.897805802706976,105.11434848741294,209.31876423621688,57.897805802706976,57.897805802706976,98.74103220001801,98.74103220001801,98.74103220001801,98.74103220001801,98.74103220001801,98.74103220001801,0.0,0.0,0.0,156.63883800272498
2011-01-01,61.47850420071335,119.37317140612123,226.33390221820216,61.47850420071335,61.47850420071335,108.494052933695,108.494052933695,108.494052933695,108.494052933695,108.494052933695,108.494052933695,0.0,0.0,0.0,169.97255713440836
