ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1994-01-01,-27.42319958,69.34993034489092,301.27470712186596,-27.42319958,-27.42319958,212.19332484000205,212.19332484000205,212.19332484000205,212.19332484000205,212.19332484000205,212.19332484000205,0.0,0.0,0.0,184.77012526000206
1995-01-01,-14.586803161571,76.3280391647918,323.4626456475808,-14.586803161571,-14.586803161571,215.11133895653586,215.11133895653586,215.11133895653586,215.11133895653586,215.11133895653586,215.11133895653586,0.0,0.0,0.0,200.52453579496486
1996-01-01,-1.750406742781995,93.98343847890317,333.9159897474673,-1.750406742781995,-1.750406742781995,217.2119801654478,217.2119801654478,217.2119801654478,217.2119801654478,217.2119801654478,217.2119801654478,0.0,0.0,0.0,215.46157342266582
1997-01-01,11.121157887848112,98.82022216639804,344.57595304465724,11.121157887848112,11.121157887848112,208.4611063248689,208.4611063248689,208.4611063248689,208.4611063248689,208.4611063248689,208.4611063248689,0.0,0.0,0.0,219.582264212717
1998-01-01,23.95755431298383,112.06323877560371,350.665771649571,23.95755431298383,23.95755431298383,212.19332484000017,212.19332484000017,212.19332484000017,212.19332484000017,212.19332484000017,212.19332484000017,0.0,0.0,0.0,236.150879152984
1999-01-01,36.79395074188157,137.74332873797016,373.6443053270704,36.79395074188157,36.79395074188157,215.1113389565321,215.1113389565321,215.1113389565321,215.1113389565321,215.1113389565321,215.1113389565321,0.0,0.0,0.0,251.90528969841367
2000-01-01,49.630347170151204,146.98348814141386,398.6124287037329,49.630347170151204,49.630347170151204,217.21198016545648,217.21198016545648,217.21198016545648,217.21198016545648,217.21198016545648,217.21198016545648,0.0,0.0,0.0,266.8423273356077
2001-01-01,62.50191180966022,144.33087775408268,389.47129740357457,62.50191180966022,62.50191180966022,208.461106324875,208.461106324875,208.461106324875,208.461106324875,208.461106324875,208.461106324875,0.0,0.0,0.0,270.9630181345352
2002-01-01,75.33830823710768,165.43807092192844,416.45873130099955,75.33830823710768,75.33830823710768,212.19332484001376,212.19332484001376,212.19332484001376,212.19332484001376,212.19332484001376,212.19332484001376,0.0,0.0,0.0,287.53163307712146
2003-01-01,88.17472024768244,180.89984410609216,439.5473807822839,88.17472024768244,88.17472024768244,215.11133895654612,215.11133895654612,215.11133895654612,215.11133895654612,215.11133895654612,215.11133895654612,0.0,0.0,0.0,303.28605920422854
2004-01-01,101.01113226317935,200.74965257042322,435.33766207424367,101.01113226317935,101.01113226317935,217.21198016544562,217.21198016544562,217.21198016544562,217.21198016544562,217.21198016544562,217.21198016544562,0.0,0.0,0.0,318.223112428625
2005-01-01,113.8827125351306,196.99495844922316,438.3302934744813,113.8827125351306,113.8827125351306,208.46110632488924,208.46110632488924,208.46110632488924,208.46110632488924,208.46110632488924,208.46110632488924,0.0,0.0,0.0,322.34381886001984
2006-01-01,126.7191245549961,223.41537814729696,458.75439589454385,126.7191245549961,126.7191245549961,212.19332483999875,212.19332483999875,212.19332483999875,212.19332483999875,212.19332483999875,212.19332483999875,0.0,0.0,0.0,338.91244939499484
2007-01-01,139.55553657796074,233.11266511674654,480.27510063881533,139.55553657796074,139.55553657796074,215.11133895653225,215.11133895653225,215.11133895653225,215.11133895653225,215.11133895653225,215.11133895653225,0.0,0.0,0.0,354.666875534493
2008-01-01,152.39194860230174,253.3284878037891,497.84023728534777,152.39194860230174,152.39194860230174,217.2119801654488,217.2119801654488,217.2119801654488,217.2119801654488,217.2119801654488,217.2119801654488,0.0,0.0,0.0,369.6039287677505
2009-01-01,165.26352888176126,251.44819559391823,494.5194679460086,165.26352888176126,165.26352888176126,208.4611063248619,208.4611063248619,208.4611063248619,208.4611063248619,208.4611063248619,208.4611063248619,0.0,0.0,0.0,373.72463520662313
2010-01-01,178.09994090732164,278.76056729911875,506.82585072039524,178.09994090732164,178.09994090732164,212.19332484000662,212.19332484000662,212.19332484000662,212.19332484000662,212.19332484000662,212.19332484000662,0.0,0.0,0.0,390.2932657473283
2011-01-01,190.9362570486331,289.5837170388282,520.0275013609331,190.9362570486331,190.9362570486331,215.1113389565405,215.1113389565405,215.1113389565405,215.1113389565405,215.1113389565405,215.1113389565405,0.0,0.0,0.0,406.0475960051736
2012-01-01,203.7725731932393,297.92252525131346,536.3932627328107,203.7725731932393,203.7725731932393,217.21198016545102,217.21198016545102,217.21198016545102,217.21198016545102,217.21198016545102,217.21198016545102,0.0,0.0,0.0,420.98455335869033
2013-01-01,216.6440573220384,300.07326242207773,548.6091062463125,216.6440573220384,216.6440573220384,208.46110632488848,208.46110632488848,208.46110632488848,208.46110632488848,208.46110632488848,208.46110632488848,0.0,0.0,0.0,425.1051636469269
2014-01-01,229.48037346390626,324.4046379140399,558.8681623352677,229.48037346390626,229.48037346390626,212.19332484002678,212.19332484002678,212.19332484002678,212.19332484002678,212.19332484002678,212.19332484002678,0.0,0.0,0.0,441.67369830393307
2015-01-01,242.31668960369763,330.1656160797241,571.6010327943409,242.31668960369763,242.31668960369763,215.11133895652625,215.11133895652625,215.11133895652625,215.11133895652625,215.11133895652625,215.11133895652625,0.0,0.0,0.0,457.4280285602239
2016-01-01,255.15300574420013,355.7463645154015,592.4472189668716,255.15300574420013,255.15300574420013,217.21198016545438,217.21198016545438,217.21198016545438,217.21198016545438,217.21198016545438,217.21198016545438,0.0,0.0,0.0,472.3649859096545
2017-01-01,268.024489871261,350.7342884691517,600.1460155796395,268.024489871261,268.024489871261,208.4611063248631,208.4611063248631,208.4611063248631,208.4611063248631,208.4611063248631,208.4611063248631,0.0,0.0,0.0,476.4855961961241
