ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1994-01-01,-134.98080099999999,68.41932480355246,178.21370427265845,-134.98080099999999,-134.98080099999999,255.85743186000207,255.85743186000207,255.85743186000207,255.85743186000207,255.85743186000207,255.85743186000207,0.0,0.0,0.0,120.87663086000208
1995-01-01,-130.8151144992447,73.75993099590988,183.14222742289303,-130.8151144992447,-130.8151144992447,258.42936617253525,258.42936617253525,258.42936617253525,258.42936617253525,258.42936617253525,258.42936617253525,0.0,0.0,0.0,127.61425167329057
1996-01-01,-126.64942799733497,72.33933092678602,184.98474947778107,-126.64942799733497,-126.64942799733497,257.96560006190543,257.96560006190543,257.96560006190543,257.96560006190543,257.96560006190543,257.96560006190543,0.0,0.0,0.0,131.31617206457048
1997-01-01,-122.47232865427164,68.6366989566024,184.4353976112139,-122.47232865427164,-122.47232865427164,250.25296573965952,250.25296573965952,250.25296573965952,250.25296573965952,250.25296573965952,250.25296573965952,0.0,0.0,0.0,127.78063708538788
1998-01-01,-118.30664215441455,79.51664612198475,198.01081826284656,-118.30664215441455,-118.30664215441455,255.85743185999831,255.85743185999831,255.85743185999831,255.85743185999831,255.85743185999831,255.85743185999831,0.0,0.0,0.0,137.55078970558378
1999-01-01,-114.14095565229458,87.0238072181229,203.37852765827566,-114.14095565229458,-114.14095565229458,258.4293661725341,258.4293661725341,258.4293661725341,258.4293661725341,258.4293661725341,258.4293661725341,0.0,0.0,0.0,144.28841052023955
2000-01-01,-109.97526914758822,89.82840707590427,204.73264386981896,-109.97526914758822,-109.97526914758822,257.96560006189014,257.96560006189014,257.96560006189014,257.96560006189014,257.96560006189014,257.96560006189014,0.0,0.0,0.0,147.99033091430192
2001-01-01,-105.7981698039433,88.39604238177888,200.50462985408825,-105.7981698039433,-105.7981698039433,250.25296573967685,250.25296573967685,250.25296573967685,250.25296573967685,250.25296573967685,250.25296573967685,0.0,0.0,0.0,144.45479593573356
2002-01-01,-101.63248329775081,97.6358583608888,205.99369141523383,-101.63248329775081,-101.63248329775081,255.85743186001537,255.85743186001537,255.85743186001537,255.85743186001537,255.85743186001537,255.85743186001537,0.0,0.0,0.0,154.22494856226456
2003-01-01,-97.4667967921572,105.86685488423902,219.86864688452897,-97.4667967921572,-97.4667967921572,258.42936617254077,258.42936617254077,258.42936617254077,258.42936617254077,258.42936617254077,258.42936617254077,0.0,0.0,0.0,160.96256938038357
2004-01-01,-93.30111028782667,109.96954024660299,223.14760962602145,-93.30111028782667,-93.30111028782667,257.96560006191385,257.96560006191385,257.96560006191385,257.96560006191385,257.96560006191385,257.96560006191385,0.0,0.0,0.0,164.66448977408717
2005-01-01,-89.12401094104898,103.7331994846866,221.48558534537943,-89.12401094104898,-89.12401094104898,250.25296573969305,250.25296573969305,250.25296573969305,250.25296573969305,250.25296573969305,250.25296573969305,0.0,0.0,0.0,161.1289547986441
2006-01-01,-84.95823095612637,116.84743632352567,232.83177643562027,-84.95823095612637,-84.95823095612637,255.85743185999948,255.85743185999948,255.85743185999948,255.85743185999948,255.85743185999948,255.85743185999948,0.0,0.0,0.0,170.89920090387312
2007-01-01,-80.79245096834546,121.35119677018999,234.0890355636553,-80.79245096834546,-80.79245096834546,258.42936617253207,258.42936617253207,258.42936617253207,258.42936617253207,258.42936617253207,258.42936617253207,0.0,0.0,0.0,177.6369152041866
2008-01-01,-76.62667098398627,126.59301450645845,240.2634015351888,-76.62667098398627,-76.62667098398627,257.9656000618919,257.9656000618919,257.9656000618919,257.9656000618919,257.9656000618919,257.9656000618919,0.0,0.0,0.0,181.33892907790562
2009-01-01,-72.4494779056591,116.99989546333616,232.8031758392793,-72.4494779056591,-72.4494779056591,250.2529657396439,250.2529657396439,250.2529657396439,250.2529657396439,250.2529657396439,250.2529657396439,0.0,0.0,0.0,177.80348783398483
2010-01-01,-68.28369792135676,129.22987316157645,243.80954337240453,-68.28369792135676,-68.28369792135676,255.85743186000497,255.85743186000497,255.85743186000497,255.85743186000497,255.85743186000497,255.85743186000497,0.0,0.0,0.0,187.57373393864822
2011-01-01,-64.11791793704997,132.94739508494717,255.89486265553606,-64.11791793704997,-64.11791793704997,258.4293661725387,258.4293661725387,258.4293661725387,258.4293661725387,258.4293661725387,258.4293661725387,0.0,0.0,0.0,194.31144823548874
2012-01-01,-59.95213795677189,143.49294791867425,259.1740141716173,-59.95213795677189,-59.95213795677189,257.9656000618985,257.9656000618985,257.9656000618985,257.9656000618985,257.9656000618985,257.9656000618985,0.0,0.0,0.0,198.01346210512662
2013-01-01,-55.774944883834316,140.63828603047435,255.54442252143693,-55.774944883834316,-55.774944883834316,250.25296573969797,250.25296573969797,250.25296573969797,250.25296573969797,250.25296573969797,250.25296573969797,0.0,0.0,0.0,194.47802085586366
2014-01-01,-51.60916490314183,149.13212247036884,263.33315949677956,-51.60916490314183,-51.60916490314183,255.85743186003415,255.85743186003415,255.85743186003415,255.85743186003415,255.85743186003415,255.85743186003415,0.0,0.0,0.0,204.24826695689234
2015-01-01,-47.44338492393721,150.66106255886376,270.2806025636469,-47.44338492393721,-47.44338492393721,258.42936617253037,258.42936617253037,258.42936617253037,258.42936617253037,258.42936617253037,258.42936617253037,0.0,0.0,0.0,210.98598124859316
2016-01-01,-43.27760494574084,158.86113170703777,272.1686327475953,-43.27760494574084,-43.27760494574084,257.9656000619043,257.9656000619043,257.9656000619043,257.9656000619043,257.9656000619043,257.9656000619043,0.0,0.0,0.0,214.68799511616345
2017-01-01,-39.100411867519476,155.39595445371577,265.8264845182172,-39.100411867519476,-39.100411867519476,250.2529657396448,250.2529657396448,250.2529657396448,250.2529657396448,250.2529657396448,250.2529657396448,0.0,0.0,0.0,211.1525538721253
2018-01-01,-34.93463188760131,161.1156588144456,282.3457456384328,-34.93463188760131,-34.93463188760131,255.8574318600038,255.8574318600038,255.8574318600038,255.8574318600038,255.8574318600038,255.8574318600038,0.0,0.0,0.0,220.9227999724025
2019-01-01,-30.768851907683132,175.40786811666624,286.25435906839306,-30.768851907683132,-30.768851907683132,258.4293661725318,258.4293661725318,258.4293661725318,258.4293661725318,258.4293661725318,258.4293661725318,0.0,0.0,0.0,227.66051426484864
2020-01-01,-26.603071927764965,178.03717620205867,287.8135484051007,-26.603071927764965,-26.603071927764965,257.9656000618994,257.9656000618994,257.9656000618994,257.9656000618994,257.9656000618994,257.9656000618994,0.0,0.0,0.0,231.36252813413444
2021-01-01,-22.425878852011383,172.24879771281553,284.4604008892405,-22.425878852011383,-22.425878852011383,250.25296573966617,250.25296573966617,250.25296573966617,250.25296573966617,250.25296573966617,250.25296573966617,0.0,0.0,0.0,227.8270868876548
2022-01-01,-18.260098872093216,181.1449751036586,289.6967597018491,-18.260098872093216,-18.260098872093216,255.8574318600379,255.8574318600379,255.8574318600379,255.8574318600379,255.8574318600379,255.8574318600379,0.0,0.0,0.0,237.5973329879447
2023-01-01,-14.094318892175053,183.6237302680305,297.76517726492096,-14.094318892175053,-14.094318892175053,258.42936617254276,258.42936617254276,258.42936617254276,258.42936617254276,258.42936617254276,258.42936617254276,0.0,0.0,0.0,244.3350472803677
2023-12-31,-9.93995200809227,161.1715594808634,273.5760102274259,-9.939954947080102,-9.939949100885595,225.87398890775117,225.87398890775117,225.87398890775117,225.87398890775117,225.87398890775117,225.87398890775117,0.0,0.0,0.0,215.9340368996589
2024-12-31,-5.762758932338723,192.9292668362216,304.430606870234,-5.76276884067171,-5.762749305307488,254.46822148199058,254.46822148199058,254.46822148199058,254.46822148199058,254.46822148199058,254.46822148199058,0.0,0.0,0.0,248.70546254965186
2025-12-31,-1.5969789524205402,187.40190433643915,302.83501460576116,-1.596997226682782,-1.5969592271767223,247.94457074420407,247.94457074420407,247.94457074420407,247.94457074420407,247.94457074420407,247.94457074420407,0.0,0.0,0.0,246.34759179178354
